Gene name,ens_gene,pval,qval,transcript_id
Tom1,ENSMUSG00000042870,0.0001954472,0.0285312756,ENSMUST00000165630.2
Ccdc162,ENSMUSG00000075225,0.0001989397,0.0289419917,ENSMUST00000160002.7
Cd63,ENSMUSG00000025351,0.0002000247,0.0290008659,ENSMUST00000026407.8
Actr1b,ENSMUSG00000037351,0.0002017871,0.0291130854,ENSMUST00000043951.9
Cd82,ENSMUSG00000027215,0.0002024035,0.0291130854,ENSMUST00000028644.10
Rgs7bp,ENSMUSG00000021719,0.0002028477,0.0291130854,ENSMUST00000063551.6
Doc2g,ENSMUSG00000024871,0.0002040995,0.0291131222,ENSMUST00000025806.3
Zfp568,ENSMUSG00000074221,0.0002048969,0.0291131222,ENSMUST00000146074.7
Col4a3,ENSMUSG00000079465,0.0002047595,0.0291131222,ENSMUST00000113457.8
Tuba4a,ENSMUSG00000026202,0.0002080832,0.0294676207,ENSMUST00000079464.12
Atp13a3,ENSMUSG00000022533,0.0002106393,0.0297308365,ENSMUST00000100013.8
Pygo1,ENSMUSG00000034910,0.0002131206,0.0299817754,ENSMUST00000038489.5
Sdc4,ENSMUSG00000017009,0.0002140891,0.0300189511,ENSMUST00000017153.3
Hsph1,ENSMUSG00000029657,0.0002163022,0.0302298247,ENSMUST00000202361.3
Klhl31,ENSMUSG00000044938,0.0002213481,0.0305378441,ENSMUST00000057781.7
Pkia,ENSMUSG00000027499,0.0002202538,0.0305378441,ENSMUST00000028999.11
Vegfa,ENSMUSG00000023951,0.0002213718,0.0305378441,ENSMUST00000024747.13
Gap43,ENSMUSG00000047261,0.0002205182,0.0305378441,ENSMUST00000102817.4
Itgb6,ENSMUSG00000026971,0.0002227348,0.0306267546,ENSMUST00000059888.14
Chrng,ENSMUSG00000026253,0.0002238379,0.0306794616,ENSMUST00000027470.13
Ltv1,ENSMUSG00000019814,0.0002259303,0.0308670015,ENSMUST00000019950.5
Myom3,ENSMUSG00000037139,0.0002276473,0.0310022221,ENSMUST00000145304.7
Nop16,ENSMUSG00000025869,0.0002285217,0.0310221876,ENSMUST00000026987.11
Tgfbr1,ENSMUSG00000007613,0.0002319719,0.0313905787,ENSMUST00000007757.14
Chrnb1,ENSMUSG00000041189,0.0002373554,0.0319114697,ENSMUST00000129381.1
Fgf6,ENSMUSG00000000183,0.0002380671,0.0319114697,ENSMUST00000000187.6
Rp1,ENSMUSG00000025900,0.0002374642,0.0319114697,ENSMUST00000208660.1
Fam57b,ENSMUSG00000058966,0.0002391853,0.0319608532,ENSMUST00000207020.1
Asb11,ENSMUSG00000031382,0.0002414415,0.032161517,ENSMUST00000033755.5
Naa50,ENSMUSG00000022698,0.0002433017,0.0323083492,ENSMUST00000063520.14
Tmem87a,ENSMUSG00000033808,0.0002454637,0.0323936096,ENSMUST00000090042.11
Cbx5,ENSMUSG00000009575,0.0002447195,0.0323936096,ENSMUST00000118152.7
Rbm38,ENSMUSG00000027510,0.0002479182,0.0326165524,ENSMUST00000173393.7
Dusp2,ENSMUSG00000027368,0.0002500406,0.0327656551,ENSMUST00000028846.6
Asb12,ENSMUSG00000031204,0.0002505889,0.0327656551,ENSMUST00000033549.2
Nfkb2,ENSMUSG00000025225,0.0002563773,0.0331161788,ENSMUST00000073116.11
Rras2,ENSMUSG00000055723,0.0002561061,0.0331161788,ENSMUST00000069449.6
Nrep,ENSMUSG00000042834,0.0002542154,0.0331161788,ENSMUST00000171533.7
Tpi1,ENSMUSG00000023456,0.0002562822,0.0331161788,ENSMUST00000172132.8
Acadm,ENSMUSG00000062908,0.0002580337,0.0332294371,ENSMUST00000072697.12
Gpr157,ENSMUSG00000047875,0.0002622517,0.0336709126,ENSMUST00000094451.3
Cdk5r1,ENSMUSG00000048895,0.000264166,0.0338148351,ENSMUST00000053413.11
Ttyh1,ENSMUSG00000030428,0.0002659383,0.0339397833,ENSMUST00000129423.7
Tead4,ENSMUSG00000030353,0.000267473,0.0340337472,ENSMUST00000006311.12
Rhoc,ENSMUSG00000002233,0.0002689534,0.0341202606,ENSMUST00000002303.11
Grb14,ENSMUSG00000026888,0.0002739329,0.03464885,ENSMUST00000028252.13
Fgf13,ENSMUSG00000031137,0.0002831279,0.0357059419,ENSMUST00000119306.1
Clcn5,ENSMUSG00000004317,0.000287489,0.0361489878,ENSMUST00000004428.13
Med7,ENSMUSG00000020397,0.0002918697,0.0365918791,ENSMUST00000020665.12
Arfgap3,ENSMUSG00000054277,0.0002955504,0.0369300604,ENSMUST00000067215.8
Bace1,ENSMUSG00000032086,0.0002962999,0.0369300604,ENSMUST00000162587.1
Pstpip2,ENSMUSG00000025429,0.0002984778,0.036985218,ENSMUST00000114741.2
Pstpip2,ENSMUSG00000116035,0.0002984778,0.036985218,ENSMUST00000230626.1
Lrrc39,ENSMUSG00000027961,0.000299453,0.0369985005,ENSMUST00000029573.7
Sesn1,ENSMUSG00000038332,0.0003022555,0.0370916976,ENSMUST00000041438.6
Myo5c,ENSMUSG00000033590,0.0003044307,0.0370916976,ENSMUST00000215620.1
Ddx21,ENSMUSG00000020075,0.0003036357,0.0370916976,ENSMUST00000045866.8
Gfra4,ENSMUSG00000027316,0.0003029501,0.0370916976,ENSMUST00000136569.1
Pde4d,ENSMUSG00000021699,0.0003045581,0.0370916976,ENSMUST00000120664.7
Synpo2,ENSMUSG00000050315,0.0003063633,0.0370995472,ENSMUST00000051443.6
Exd2,ENSMUSG00000032705,0.0003059509,0.0370995472,ENSMUST00000219757.1
Bace1,ENSMUSG00000032086,0.0003148866,0.0380236682,ENSMUST00000159970.1
Hspb3,ENSMUSG00000051456,0.0003244259,0.0390649109,ENSMUST00000054650.4
Relt,ENSMUSG00000008318,0.0003318716,0.0398488957,ENSMUST00000008462.10
Akt2,ENSMUSG00000004056,0.0003373652,0.0402376537,ENSMUST00000108344.8
Shroom3,ENSMUSG00000029381,0.0003364966,0.0402376537,ENSMUST00000113054.8
Brwd1,ENSMUSG00000022914,0.0003379412,0.0402376537,ENSMUST00000113827.1
Fam19a5,ENSMUSG00000054863,0.0003423554,0.0406497015,ENSMUST00000068088.7
Ptp4a3,ENSMUSG00000059895,0.0003451608,0.0408689583,ENSMUST00000230177.1
Tigd4,ENSMUSG00000047819,0.0003462263,0.0408815608,ENSMUST00000062623.3
Ptpn2,ENSMUSG00000024539,0.0003490262,0.0410983225,ENSMUST00000122412.1
Myo10,ENSMUSG00000022272,0.0003531218,0.0414660322,ENSMUST00000022882.11
Ky,ENSMUSG00000035606,0.0003585306,0.041985515,ENSMUST00000039390.5
Rock2,ENSMUSG00000020580,0.0003640212,0.0424994995,ENSMUST00000020904.7
Idh2,ENSMUSG00000030541,0.0003649138,0.0424994995,ENSMUST00000139178.7
Slc6a1,ENSMUSG00000030310,0.0003664496,0.0425620751,ENSMUST00000032454.7
Dusp13,ENSMUSG00000021768,0.000367802,0.0426030665,ENSMUST00000075040.8
Kars,ENSMUSG00000031948,0.000369187,0.0426476035,ENSMUST00000034426.13
Tuba1b,ENSMUSG00000023004,0.0003764427,0.0433682348,ENSMUST00000077577.7
Rcan1,ENSMUSG00000022951,0.0003793263,0.0435826469,ENSMUST00000023672.8
Traf4,ENSMUSG00000017386,0.0003838514,0.04398401,ENSMUST00000017530.3
Egln1,ENSMUSG00000031987,0.0003867372,0.0441958681,ENSMUST00000034469.6
Mapk10,ENSMUSG00000046709,0.000391189,0.0444661948,ENSMUST00000112848.7
Ppp2r3a,ENSMUSG00000043154,0.0003905204,0.0444661948,ENSMUST00000075941.11
2310002L09Rik,ENSMUSG00000028396,0.0003940746,0.0446750605,ENSMUST00000149981.1
Ccl2,ENSMUSG00000035385,0.0003980099,0.0448387908,ENSMUST00000000193.5
Asb14,ENSMUSG00000021898,0.0003986746,0.0448387908,ENSMUST00000167365.2
Asb14,ENSMUSG00000116208,0.0003986746,0.0448387908,ENSMUST00000229107.1
Txnrd1,ENSMUSG00000020250,0.0004053554,0.0453443618,ENSMUST00000020484.7
Zhx2,ENSMUSG00000071757,0.0004063611,0.0453443618,ENSMUST00000096430.10
Ube2ql1,ENSMUSG00000052981,0.0004063597,0.0453443618,ENSMUST00000065118.6
Armh4,ENSMUSG00000036242,0.0004121683,0.0458722924,ENSMUST00000118129.1
Naa25,ENSMUSG00000042719,0.0004159483,0.0461724326,ENSMUST00000042163.14
Tmem246,ENSMUSG00000039611,0.0004173342,0.0462059431,ENSMUST00000042750.2
Gpi1,ENSMUSG00000036427,0.0004399991,0.0485891269,ENSMUST00000135243.2
Ddit3,ENSMUSG00000025408,0.0004458613,0.0491092585,ENSMUST00000026475.14
St6galnac4,ENSMUSG00000079442,0.0004492061,0.0492893006,ENSMUST00000102818.10
Psmd11,ENSMUSG00000017428,0.0004498085,0.0492893006,ENSMUST00000173938.7
